Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date,SLA_Postal,SLA_Latitude,SLA_Longitude,SLA_Address,SLA_Building,SLA_Road_Name,SLA_Search_Query,SLA_Status,SLA_Missing_Fields,SLA_Is_Complete,Jigtech_Search_TOP_Year,Jigtech_Search_Status,Jigtech_Search_Query_Masked,Jigtech_Search_Log_Encrypted,Jigtech_Search_Source_URL,Building_Age_Years,Nearest_MRT_Distance_KM,Nearest_MRT_Name,Nearest_Supermarket_Distance_KM,Nearest_Supermarket_Name,Nearest_School_Distance_KM,Nearest_School_Name
ESPARINA RESIDENCES,COMPASSVALE BOW,19,Executive Condominium,3.0,"4,700",90 to 100,"1,000 to 1,100",Sep-25,544998,1.381892863220287,103.8913744130347,111 COMPASSVALE BOW ESPARINA RESIDENCES SINGAPORE 544998,ESPARINA RESIDENCES,COMPASSVALE BOW,ESPARINA RESIDENCES Singapore,matched,,True,2013,matched,[masked:b9cab2793a85],gAAAAABqkEP4uIrv2ho0HKb2qw7DdQq7eGzOzpQJmSKsp5nVBRQW6GMyN9lgTU1KLofAZn0dD-eHekD7oIVJpgWLoYWmxdjvqYN0rMfkcw1uWOoBH6bg2JG7l-6jD7j0dduuTFJKi13_xwwdQPLvVUJSKlrEamQtWUR-UuoGzka5_Zo2ntzlWwQSd499C8I-U-2HJ3abXimOpSQqiwa-5dMwGDgr7_tHEjn_FKG4FUam5hsl_D0PKWUjNSVPiwppQsUKGbIoYw1ISrC7zAuHuk5mkxBbYxTULyUY4x7KuuxWWpuMFf82Sf_y7VpEjWRooeIUyNWZJWPHRsFtsXxWYnUNmxg89eEjRHHDHhc0TcsZ942IsGZcli9HqKcyqY09PfbSU5DGVAbOZCRddZZOt19JlItL9SA3vDYutOWcE6PKcWDX5Dt884fm0P-_Xf7FlR0XY0X-xmM6LNtaBHm9cwG0FOxYgm5u7ukLxERda4WNyDx4z9doSitnZu7LiNYFkftdmkJfW92qZyDlDTdGC1-uQYcaFgHXyuMLedtbE7YrToIlEixJHXrUB9WpPE3rN6thLCfO4M0nTDEIkLbuM8EEzEaDTuU_p7tYN3ofc8ZqB1h9zQYljTourUvYLT_U7nD4WJ2D-liJvad9L6JuBq4Axp9CUdUm7XE5tKp0opSx8pGJqO-uOiJGR8XJIEPE4CPwJ3L5zYtwX0nh7pUMC6VVsPLChjlvCnCZB2bJueFHnLy7J3BExPXoQpmNZ0S92Jeau0gapZEFwVxr2ulTsNV6nB12rSu4lzWCqPh7pSxvePxr_u86IPLswwGY_onEViZ2fcSHORF-zDNbD6seG8BmBriQ0tcX3TOomHnN_Nmua52a3clWC5bPx9kdsrfFVBk003wUfXDyg8b9QqKIS9lMix5-uQltrit_xTIikwaSJwWBfxlJK3ZJnPr_pfvsz6A-NDMkMPidNpdQu3mbHchlTJNsUY8vMvm9RUFsnW3v4Cunexksjx1RoBvT1xPNfX_6KpqzXhJnq_LLOwXAF_MXgiWZaZiy1MnzHNRByvQC8NcxdkhuH5d7IoVE11nbU6UZ_RgFIjd5,https://www.edgeprop.sg/condo-apartment/esparina-residences,13,0.54,RENJONG LRT STATION (SW8),1.3,FAIRPRICE RIVERVALE PLAZA,0.87,NORTH VISTA SECONDARY SCHOOL
THE CANOPY,YISHUN AVENUE 11,27,Executive Condominium,3.0,"5,200",120 to 130,"1,300 to 1,400",Sep-25,768859,1.424171198679278,103.8479605302174,73 YISHUN AVENUE 11 THE CANOPY SINGAPORE 768859,THE CANOPY,YISHUN AVENUE 11,THE CANOPY Singapore,matched,,True,2014,matched,[masked:35bff99f9780],gAAAAABqkEP-Vgu2y4fr0jtcZWqpMhjQzRqgTQg0E7NGm0Zgr7AqHhc3qrrfWMFnxmSX6QvTDNM1FeRf0dZ70wVo_BtpQgQVI6C2u37w8mp86zpt2Ij2VOKo4x5O06Ysx-o1SS_otG-UXw1lAb1QeWldiw3ySd9umvBGlVQIECTnqdIGB6CSMlCrpaz_kM3V8yNz1EmJzyEc4DDBuwIVBtMn7jZuxhJtnf-IDiy5YUKZkTjUss--6Fuk80fnO1bJk65sJvoILqAONFI1jaKEZocfzRVPdWDm68VNHXDtg7jX9tcubtbe8j7DLJvhv4z9zTJj-c-Pg1WhlC2PaJ7jaURJR44LivhDOBcoezSSKRCTTNIKb2W65IL62aD2w97Q7VkayMPxye6IB5CqFrJ_-O8dhjIsFs0LbBciJJGXSXyItdiFRQVhE9GSwhIWQYv6X885P4qdEvCIoNE9LOi50G_ShYbmwMPIx9Xr2Jmu_a82dVlgVQIDnFo_9UZgJhzDrvoAq7XXIODsLx_kilVovvLONTgfrj_esP8lZRaHzUeI5m12Y72NKpqs3xilUJ8dgHZmqgcHweydMNMQTZlg-PXIc2MlAJoj9XkkxM2UKD8aipGSsWa48uOTS6fAJHnxRtdF2GKivDV8Vsx7NwHPb9_L4DsZBvsiJ7DoGuY9m2-65fHFnbhWyIhONWA564VLkqcxA6byjuJm2O3YmXkYpFmGcNZEcrORV30DpwPBVPucaywYeBG7YFUrwTVNt4_hY6ZFAUlksLppjmB4iJYQzG6YKUmfPEjuVeij2fUuRLZx3xnkPOonHhZuIpUcZFT_HXyUqup90NCwtXMVr7gHEtErY3eYRw4iFYFdLwDRsRfp2Ya4hOlIf9FLNwjh2lBPgYTg635Xw2UKmhagxJe__ZnmgGypfWVJOGxDNxmxlfDEiE46x26mYMhVghZMpWj58WsgAlSb5YaOIQUD3QSy9qsCIuXVNNb9b-nQWsS7MdRyzTNMaGL2szabZMjVEbMKacMD1Fu9p-HQzRWKCqm9v_IedoM3PEeS_Mtp3_c1F_KGbUmZri-j7rQ=,https://propertyguru.com.sg/listing/23574348/for-sale-the-canopy,12,1.55,YISHUN MRT STATION (NS13),2.87,FAIRPRICE CANBERRA PLAZA,0.86,NORTHLAND PRIMARY SCHOOL
PRIVE,PUNGGOL FIELD,19,Executive Condominium,2.0,"3,350",70 to 80,700 to 800,Sep-25,828748,1.390654591613188,103.9127525677816,19 PUNGGOL FIELD WALK WATERWOODS SINGAPORE 828748,WATERWOODS,PUNGGOL FIELD WALK,PUNGGOL FIELD 19 Singapore,matched,,True,2015,matched,[masked:450d91b52fe8],gAAAAABqkEP5wzVs-N7fG9SZzqvALKWmBULF85mL8lM4j6Fxy0-ol-1_9rYox3ZDoKwCyul-dDzlIB2e_1h0KzSgligbycaYJ5FngrIzFd6L9SYqlbf3XIpY1S_2a-E8byOQk0hb5ByvmQbZz-DPzMuzf737tRKK1kkng0DVrz-2qq9m5FloawA5HFY3Ij_ZDPqGPpSz1BXPHTSv2m8bkCByw_AmidA1wS362oY8B8EtlPc-nG5hkDdElRTIX0KHgr4MrjoYoc3P4qIWA5ZDcv3TEZoSAfKgrqSml9IBAI-eH2pjP-9c4dSpJJd1ehBkZO063hY1lfxpXdmfVH0TZX9vOG3tPbf2glBaJl1sVfTXS37aiWo_w2nkpt-Ayqx7MZsijCGXcViVi6FolcRj7-wR9KHDVobS1PmC1iwRJgPKNuo9M1YkH6KcM5OtvGHgxYZMwZ_AsW-vHOdQr8cLRo3BJLCNftpHfuP5VvwIRCSTWtMyyGpA7j4P4dpVod1rCPxSNnWcTiFrCXXDMHSLMz20v4adEQNivkoD2xom9x98ShjqnNWY4K8UUXL17LIgOFp6WOMEnFptHMdX90M4reegCJYLxzA2V6C2drRGm7-aQSqa8qZDWFxjpjHeNyM_EwyKoE2UV7z8EKmvl4PEOAyp6GZ78J7WYrbezOE7jZr5PhXaFPotg-huu4z6TfVPBh-OssoVjq4E9HenVryWfrS7r56-h_0JRSx-peRvwCnkKyeolkwZy3VtOskomZwBaWZivCIpltlcmrau3kaNAvexrSDf0GuFYzopq7hMcoeWoPweSBzr0F3eU-ZqFYyYXbFlUv4EvTkIWEqSZiy_WCLCnt-efJLxJBbhvkAAY3lTMmmmyhbh8b8bFyuCQglP-h293Rf9t2lIDfglwxraU838SBt1DsY3dmQ0IgKTpdDmnFnfLqHkxAIFg6iqzVeII6WSyZN-bZpeTUwqaXeF3DAoiiCZ0iNtrb7PZXeXKyVyjCcxzOMsdlv9HVbGdA2IdtaM0743ukFhneXmq3hPnzFpAnWFWQbLL_7EUQSYbs1DZZfYwGEiR-Q=,https://propkaki.com/condo/waterwoods,11,0.36,CORAL EDGE LRT STATION (PE3),1.27,FAIRPRICE RIVERVALE PLAZA,0.71,GREENDALE SECONDARY SCHOOL
THE AMORE,EDGEDALE PLAINS,19,Executive Condominium,3.0,"4,800",100 to 110,"1,000 to 1,100",Sep-25,828692,1.399016948079353,103.9130464240811,53 EDGEDALE PLAINS THE AMORE SINGAPORE 828692,THE AMORE,EDGEDALE PLAINS,THE AMORE Singapore,matched,,True,2016,matched,[masked:5a3eafc510da],gAAAAABqkEQOIX6Fr9znC_xfQtEjiYNuNPoCBg_LUF51xA4FTuljDOBSWPU70d2XeMm12GG5IohJZjyaQhSwfwGANECHPNAK8xdn7NxIMnwaJiciAMusDkE4ZFuAXCkcaBy-K0RbOKdmdQcOXYumyqjUkjpaiWZHF1WGt1G5kon8wnt4y-SuxxG9CAFnhT3gWbLt-JqrCX-2jOmwt1nS_eqJoFvoyIBPu0bwGOypMUIQNOUFUoG7Sw6blhFYbTrWjLQQWclkRY_ZVTAGAOuWvGAxCfGpbFlz8CcVHPvfg5DckBWVvYa_C9NOVoCH5WWvrzlI0MPZU13_FcFzl2T-tR4JF1Rip6Gtkw4FcDfZx24Bom_0_xVnR8TOvKdsVAf70D72PQPJrKNxmEVk9xvkz4E8Rc8mPfypFML1GaUwc3RApBIZZdb1SF_KMcDHHG4vskuICVjpNknvy8pCnXOELnD6Z_PH2EsPKHR7z_CtRWlJQPYGNzzgnqYB-ngVGgWWlRP20Fyy01-Frc0wYacpVpk_SRwXumU6HOHDSYeG8KruwgYGNeWj9QzRrd-KLY9ANQ7IWP5RDqTJ7cORv0FCa6xernbiCNcRs10QhziJNiVHKsmXPvIWqBgFChdCgcXWnBH-Yseg2xSitf9eWdN0mKMA1OXspbsrvngSnc-duOYvqcM9Y-Zg8XGxybiwgGyQ-Y0oCZNt7UYwvTtkUPyldnTRPjpwbFvHPnlJWNxWyXaQdA43UPzIA3A-uMoUzq3748k8f9lR7iLNDLxu0feGOhCHGlJhrxSUA124wSCv8GL313tLGqPDNKe1o3NqLffms01_KiSCVVnpY2A6Zf-3Nlm9Cq-LIWUdE2IkC08BaYigxBecPadg2Qt94kEMgL_vth_ateOfb4bwzHvrKW7D9HOBSIxVEdlaiXybT-AkHLgvd543SxWkFOsZXdEfe-NC37gqGhsb1c9YPIprstj6Q_LbGGIuU8AKWkfxisnQ4_qn3k_jWkMBIgytMmVNCjOC2Hn6U1XnEg-S7GvbKUly07f9yHUZ2eYx_VwrgIkpUr7gL2UOq_41XQE=,https://www.99.co/singapore/condos-apartments/the-amore,10,0.37,OASIS LRT STATION (PE6),0.4,NTUC FAIRPRICE OASIS TERRACES,0.27,GREENDALE SECONDARY SCHOOL
SIMEI GREEN CONDOMINIUM,SIMEI STREET 4,18,Executive Condominium,3.0,"4,500",110 to 120,"1,200 to 1,300",Sep-25,529861,1.341695381781125,103.9580807552141,1 SIMEI STREET 4 SIMEI GREEN CONDOMINIUM SINGAPORE 529861,SIMEI GREEN CONDOMINIUM,SIMEI STREET 4,SIMEI GREEN CONDOMINIUM Singapore,matched,,True,1999,matched,[masked:34fc60c35cd0],gAAAAABqkEP0-Yl81yF7VDViNIpjSMenIUbjEq_IdeQ--GNWPTJ36feCMCv4yx2VDoqDyQfweEwhoOu9LBdk7kXDs4n56yU5vGW5zQ8f8OLnhly1YmBxuT2J6tKhvdu6weB-WGideFpZ-hFa0AuUxxv5EN21yD3JVPZZoEWbYjsx04xwBk85V5tfcBN8ZhhqowC8G2xz8cDpk9Sx8eCVlsh-LR-9ykUkH49HbM_HI0k1dyKkPsvGhE8uPb5EyAWdqd5gzxq9iL8WWCMFSxo3F4oLiXucXS8VRl2t8KK5TCHsdJRWqRx5e7f8mmzaHW2Tt4iw0AC1OnieMxP8F1k33cWlIv0mH9l-FbM2v2zFOR85ZCeb_0rbDu6XrrTim-oUMdhy51um_mvjQYyQeMmbZ_F10ig7727A3nkOQZFkp_E-Qf-AhXZxYFzw9nH94rwjGNkTRvYs582IoxznTcxjTxXQGHNKwGLePuLZv1C3R343FPcd04Lu7pZvY8J3b8MvypWorXh5T2v8k9LcfKcw7eG7e45BunjL2NpMRJo1ZB8iXaxn40-l9nl-KZBNt70a1VKX5yEPgqukiDo3USKqBhmz6AnRwLuiAmUYyK2nolkRl1XvcHwC3BJk5dyth3EMBiLrp5Dao37ctC_0DmoKvv1eALYrW-TzTlb2xd0GhGHIxmSUVQG1YMQ9vxGuqYaRNI7Eqq2Fx0qbwdytLtFG7pkq4Tf1XsAjDPZL2936CLuXNsFxoSPcIbSt9aMsQ2U9IxoVhKfTP9fMvHeZWzY78dQD0HJXVYXsAgIc1ldqAcpHWgHfXTqmbBpdXPHPRw0GXTsN7IXozblGbUAKCx0NwmduJXnSVjvDwrGuCwb_Xt2XYKHPVJ0zHEboocvtRvFwaE9sioLqFIxVSNo_apKk_XsOfDLa9rXbGw==,https://property.nestia.com/singapore-condo/Simei-Green/2270,27,0.55,SIMEI MRT STATION (EW3),2.91,SHENG SIONG LOYANG POINT,0.59,CHANGKAT CHANGI SECONDARY SCHOOL
THE TAMPINES TRILLIANT,TAMPINES CENTRAL 7,18,Executive Condominium,3.0,"4,550",90 to 100,"1,000 to 1,100",Sep-25,528769,1.358923390077015,103.9404983837918,11 TAMPINES CENTRAL 7 THE TAMPINES TRILLIANT SINGAPORE 528769,THE TAMPINES TRILLIANT,TAMPINES CENTRAL 7,THE TAMPINES TRILLIANT Singapore,matched,,True,2015,matched,[masked:780853c434b4],gAAAAABqkEP3EOhkbooHN2I6Cf09I0VKpqjw4E7dKmobInYUbYa_lsf014SjJ3_t9_E0-hl8anIeZ0_HV1vWbHNglA64ytVEecxqRlwehEeZKw0GzDOg06VtUt_dIJq-eAKbnr_cGzNLxywXWVARTKwiNaYgiMpyflvT8rxlc7W6YE9tDIAteuk8DN4flNyTwMzMS8vbzBPICq7wE4CKxMErB6bgdAwdfG9iOTysynaEfC8p7lyYUUuVKwayQE_XpuDA-8xAZ69EOxaBEzWb22GSnbdTS8SlNwBrtun1Qp90sLk650GivejeOpeZ9NB35tw4bKqNG4T2WebJkxajOmXJXT3dgmBmuX2EAJdcIxvh_Q6au7CVQ_Uytz0aHTaya2bza4FbHwjK-Mb01xOf5mB6o_FwcEh8-r5kNv7naeGnQpBEdTc_Py76IrshswIKjmTNVf7yqxV9SyKgbS9XzBKAXdvYnUpisbFY8XoIP5CdvdPwokyuVS38BpebyiehHcfpFCZ8AYIajJaT4JgT-QQepvUHMGIjJr-_U6e2xjwvhHqb_ARssW-eflB47YRdBnbAPKoar11rFOfsveAmhQbOTbt9_8GN2rZ0tb__7HsBaj3_aueuZSA9FeRipimSzvXvf0owzNWNSa_fjGCfwFyw20L8GuJheUWRaBqQzVua8J7n1SVowcXDGEqm2TvQci3pOS05hPMCRluJbhlFYTTpWVOeo-eDOkC4voLNrk-bzp7G5VCcVX19_AQOzMQtusF17UnJzRxCqoxoc5UstLD2YXJQQS25fs1isLhGPdBIYiAVvN4E7nAP4x7MZhYOEzK7B6ivxLkYNsdEksZHRnz-MmK79juTJUstc7czunIgpC9QprRsxdR5nttJY_NJImfXAzzN7gsT3UFx3F_cuRSeevGgUfc4nvJoYFh3f6dYGmj9QqN2uPgVL9SxqoZuMDvMnt2uVbsCGgE9Wq3HJUYsDU_YpDrfxuckWw9FdlknY47b5PuecllAOpm7yckYWwAvzRxuqC35kwfm5NprwynC83bWD27JRtrDgLYAYiUqlgtO5Hz-1CURAv9IoYpsukJIfsn3K7Wm,https://99.co/singapore/condos-apartments/the-tampines-trilliant,11,1.51,TAMPINES WEST MRT STATION (DT31),0.76,NTUC FAIRPRICE TAMPINES CENTRAL COMMUNITY COMPLEX,0.55,ANGSANA PRIMARY SCHOOL
THE FLORAVALE,WESTWOOD AVENUE,22,Executive Condominium,3.0,"5,000",110 to 120,"1,200 to 1,300",Sep-25,648351,1.351018055432167,103.6971903329932,218 WESTWOOD AVENUE THE FLORAVALE SINGAPORE 648351,THE FLORAVALE,WESTWOOD AVENUE,THE FLORAVALE Singapore,matched,,True,2000,matched,[masked:9073ef186063],gAAAAABqkEP82BQrN4AzazXmMkxummNTFEh9EEFH2XplyTgrugJ1uNBtKdYPE2peTlAfnhgme2M8_lYpuvMV0-iIJWeUEnf5PQMBRqMIizJAmazhgx5JmiugHNEYgsITlAH3rfJkwEBJ104qe__OkZH7gjgXa8OO5gvTQzU28w0r_CFBchglQVlJ-kRVgia0I3oGgRaSlUP0MflPpNNb30aDiioW148ZM4kAcrhD4bbS740l3mLeARvzA1pEvOfgfVVPOOPObwYF7hu5b8OnIC1L4tA0eUI70zDn9t9D1ttrSVznM6NawCE3KKZLypFf7gALTGNJPBWnJoXfxiih2_6e-aMcbcXpgFJNYLMgDDf2n4kIMAyBkWwbZ37N81pMT5vHuh-p_9oL3lF06R17RkDOZ2wIGO88JsEbs52Yn_lkxqBIBQJaOxOuHdW-sdNJAkyUlBgVTo0ToU2SEsXx4k2pLAv-bpjrmFxRp12Y_yOTO6NZ-YC1VBWg0Zcr5hbcG4oNUka9EJaJnSMj-FcQS1uCuiESl-8o1hSkYCzwXW08rKENGQWLEPaOLRpgL0BaZLLXCfSQ3n8FyDt3GOzujdWDMAFW7RZn2cygDTEDMy9lDLdx_REYGkU8WpJWxHlxjDtrSmKLzLKy7O151MyY6_lLFFeF8K3dtw_miCaahr-zGcxJghEEebNeKik2C-3lhkEv00Gqj5BC6-LAIQR7aU8aW1QTkZpxICRdiBH5fVb1VnnFcYPqCukmTGhcQ5wWpNqywQyRINuP2LZPYrCLlEijVaGhcfaWMNIT-O7qbnKesmt-7AX2isPFsYLII5UdWtAlqekd-njR8Oary5-h6afF64Rv54htXxUD_m796_Zwk694z1eyAAqPb844DitFpMGsNvxNTPZsh86uzcIgYLBUDvvZJBlreIw64lqPXZqqfillodjyVclc-Dq4b4AU-RAHinb22sYNywmTjnrwVpAJwroVux8DeZxUmN0VZV3yrFdna1YpIqUvOlsWpgQdr3LdNp73u__wiIcGG4Qt-kB9KkjBC2qgCXjXk4IuSp2MyMcPymXznhg=,https://www.singaporeexpats.com/singapore-property-pictures/condo/the-floravale.htm,26,1.7,BOON LAY MRT STATION (EW27),3.12,NTUC FAIRPRICE TAMAN JURONG SHOPPING CENTRE,0.59,WESTWOOD SECONDARY SCHOOL
ECOPOLITAN,PUNGGOL WALK,19,Executive Condominium,5.0,"6,000",140 to 150,"1,500 to 1,600",Sep-25,828748,1.390654591613188,103.9127525677816,19 PUNGGOL FIELD WALK WATERWOODS SINGAPORE 828748,WATERWOODS,PUNGGOL FIELD WALK,PUNGGOL WALK 19 Singapore,matched,,True,2016,matched,[masked:2cbe2e80833c],gAAAAABqkEP1PnWyACUIV-sUci4uXMcFm7O-M5WvErnDXc9gmEgsRDZtHpcOcHQzfMG0PP4B2UhdFz9R7ZboivuwLj0pHWeu9PM7aqt2xv7m5PrMa8RXE6PsxxNHX_oE5Huf8czSPVHXk5N1uRkDqD26NZFaD_H4SCrYc-1HSKwqVRRGaPf2bKXMYGra7A29iGliIKe6l4kPAjjmGRkIgqiFUGvUQfiFrgClyLpojpWNams-qSz8WuCjFCp1HPOSh4mxwxFPJX0pB18Rkl_4KKxFqfwf7T42sZF5fdk-ljwl-rqkpDbPvFZZyYQwTHbj35R0SHFJg8997nAaeHaexMB5wEbj8gJOlzIWD0_6m3AiPDxjmEXoO9C6GkE2jt6MwT6sbjXKdl6NIbx2klBpEohgROCf1me3oVR0sUtDajuK0SnG0fDgCoWfsgPQQDv-0WoxL1L88BdzCS-wec8OfGK9UQ86ZAuq0rA2h8PI9zuZaQw4t_1mK0anXO33NLYd_QUJM38j-mNM0jW9NCQKuLkbo36T7NAyQQmm7dRRKMcUTDsiudp-bdEwSb5V2AHeNOCNzgRMASjfn_OHFHASxN5sTPNMZnTybNTXEThW4pzpIQFOgvviDdj7vCqooW7ZkjfKNmEL_0QStaE3S1MuEIzIBuznE4N6wHFQEaS8VTzvrjxBQIpVFa08PIDvShpEWUk-iP9IL3cqGSHYauiVeQMIokyQSm5TS9ZNqyKdCEvlu1XoXU3HHXTBx92BzV6IDMsCqrkH5dZlbB7fhH1wxidnFmfOV94sXb_UKJD9H-xWaoCY2T4rj4DAmSlYyPj3p2--b1dZZUsqbrK0JUX5Z9_mc4b4I1OVrx1sTW4nx49-iizNMMIRMTsqEcHSyorfgZHqmVBNd8ZC_MXPqwEl4mO7v5FjLF83GM8jrIsAcsAdiJdflMqSQKLPaHv-9950vZQ2LIYTV_2uuDDn5t6kn9daV2G0qSOo6C8LR3UNr5eHopvJ_34sbSQi9lxSUlIgkJbR4zC0MfDo3rBNokVOiNDuMlO0oqR1YhAFK5sFCW8nyn-iRO0w-nU=,https://shioknest.com/blog/review-waterwoods?lang=,10,0.36,CORAL EDGE LRT STATION (PE3),1.27,FAIRPRICE RIVERVALE PLAZA,0.71,GREENDALE SECONDARY SCHOOL
THE RIVERVALE,RIVERVALE LINK,19,Executive Condominium,3.0,"4,500",120 to 130,"1,300 to 1,400",Sep-25,545118,1.380010839009283,103.8987396527917,1 RIVERVALE LINK THE RIVERVALE SINGAPORE 545118,THE RIVERVALE,RIVERVALE LINK,THE RIVERVALE Singapore,matched,,True,2000,matched,[masked:6f9e02eaf888],gAAAAABqkEQA_RVd5HcmImcfbaZUj2iuDdJbGXHQaXqCq6PO_h4WCs4WqsXG96KgmRAI6wbuV7ZFa5BbQmGcDL4Op_VIw8fBl_BdLLQ6pBsW2KF_KUl6Sy_55dWQ6PulvoO6i3QPy_KR0xsgnz9iybrgkm7em1WkTrHdxwaDGqWfQGl2suyEko00E8NUjGNYc-29mYoEBGauYUuC6Pcdxbs2axj54TbA03cdchTPAhk_PoiW-Wx-5Fk3DHC6-pSsgt_p-w1lYHFCzyUEyLxR8lO3d_ilKT1ULLt9tYjIHG_b6isxPTgqqXnkI7QUXNUuqmk9pTtIxFiTEnnsFQ4g1a84v5yH7a33WMvJFUx7EoFJ8cvlOhae3iLy9lJQUFjzthe3ot8s1Ux2-nYkk_d0WfF6GW5AHS_Nk5hpn_dyKLwN65zdAHcUhHwdTLhNPSU1h72ArqenZXDZInqrpQWezOgwgVfwLfeGwP04ZF6-7x7v4FvGNBUVlyudzB-693uuhGSP5b6mIcrFfkgPDYb9MyPD84yHuoAp9MEiX5it3R-Lqnl0m4VTkO15l97ewhPbvxsYWMyeOm6JqgvZ7SWYerOxk_yYnZLFzO9nR0vq0xOGFcB2WM-dvYNKZiOdlPTSPnsc6ZjDTVymJ8RLKug16GimNp2c5Ol29tuf931uMN4vD3pGQjS4ouUpevCe0YcjhawridIVYakNXhwSp8IYlMHGQpJvi9HlwtX4znYgl2UqD4SddTCZbsopw7aU8W8B53HFffZZYaG80psc5pKkmQdSV_5Gz7nr_tLIhFz-77m3H7SbTTvB7sr_3v4igoLomjA-1RfWjAAuprwGBAMuCxj1eJz7MBDCjvKyT-pgDnd9kLV8eTXoxbHsPBRw1WVGv1zD0D2_UzpsGgRIou15uLld2z_n9MH0iM3aZKOxbHpmyOAelrpwUDHyNf9IoR-ovDYqIE2n-1QNCx-QQz41AuH44NyxMeRKMPd5mzRdL2fhyuEHKmYFuUPVJr3ZoVPiP1XCd4jHj9UzGo3-LRpFXaTGJx5oKGEcMXvL-QOfIl6JEpN9PKYETdk=,https://www.99.co/singapore/condos-apartments/the-rivervale,26,0.5,RANGGUNG LRT STATION (SE5),0.75,FAIRPRICE RIVERVALE PLAZA,0.13,NORTH VISTA SECONDARY SCHOOL
YEW MEI GREEN,CHOA CHU KANG NORTH 6,23,Executive Condominium,3.0,"4,350",120 to 130,"1,200 to 1,300",Sep-25,689579,1.397297760028957,103.7465249869248,23 CHOA CHU KANG NORTH 6 YEWTEE RESIDENCES SINGAPORE 689579,YEWTEE RESIDENCES,CHOA CHU KANG NORTH 6,CHOA CHU KANG NORTH 6 23 Singapore,matched,,True,2008,matched,[masked:807caa939b91],gAAAAABqkEP_QbTrB3NALnxdUh6boc59so-G1VJvl74t7qgyvsDMuWnFU89ZXqw87NTQVAWrTk6R7JsQQB3xGQEW9iCFXUkaDpBVevHGWmy4bcDrLxPY3I2qwnvenTJTrPa-Pb3mk95ox5PihRyWFdA6kbDPh-HOnxFAcyRhBUvcQ98Dja-bT6pe358VSeUxM9G9SRzN3myxN4k-qJAPdDaoZpM2B4czryvHJ--sSbj_6TSj1mqLzbH2xsPutbt0giTyTBwBJeQJWnJm1A_DRp-BoHXb0YHdu4H_WKl2iX9crLvIRUNJDiLnxS4RHvVT1gLHnb_vJqBDgg2ekj_pQcxXFzr3-LDveuIOLf7ggK0tLmUM1gqyKXOCl8PUv4N2Uq6lDk-0fYs9y7sFUyXbFOPB8Iyu4bzvPWACoLAkaDsyrWfXCgwews_tqIxSqGDExMi17_AVANrar5szPE26WtHNSm_Me_pKbTCPjDhm3OKb_IrAAqOXGYLmUMY4UA39ra-j8xHSAIwJdJK5cDwhvjgdlIMcjMGQw6EIcUtgfDdt52GATKdyEZMSred6MKg8qIAW7YeNHgjv9Q0POwSGqReAakats-oo85uN1RUwwE3uaaUfZqIvypjdV3xLBVFXaM-TAc9J2OOXwTeLzONPrTGHlchWidiO2akXWwsganxGZ_WNP8s2bpI5oVqAOMMzivaukB6JdXVVxpDA9Vy6byLeJXrLFRfOz6v5NFU5fk2wPtgUWqLBCRz2SzPZmIMEM_ME4UAn-4xdFHzfBb3vtKDNOmtj9xkJiGJafzr--GbJXcPE1GK_5rPf8wR2bwsAYREUeuqXMwIQ5sTGbus_HVnekzLFNhj0oFQwH_Eh0hhyNLQK__iQzTwqjwbLtB4rE_Hu6h3_o0cnqgjR558bTPTO-O_ANUpbzv53dxJGtzYgFyqsIw6kuq-BJccqzkFUJ5a23Jzl0GVsYxNpLdgsdDtEnU6k6ZcGrmIF9IG26-vStdS64iaE8pX0dLHDKrpbgnCmMv3t_RAnowzi3RHWXb08q3Ly79dD0u_9Of3GK27Vs1LdszYJgn_LLkbFRUDsABvJFRBca2zw,https://www.99.co/singapore/condos-apartments/yewtee-residences,18,0.1,YEW TEE MRT STATION (NS5),0.67,NTUC FAIRPRICE LIMBANG SHOPPING CENTRE,0.31,UNITY SECONDARY SCHOOL
